Site ID,Vegetation type,Year,Water,Tab,TS,Mab,MS
CM 10,Meadow,Four,0,8,4,5,2
CM 9,Meadow,Four,0,4,3,1,1
LP 12,Meadow,Four,0,10,5,6,2
LP 5,Meadow,Four,0,11,5,3,2
LP 6,Meadow,Four,0,12,5,3,1
LP 8R,Meadow,Four,0,12,5,6,2
CM 19,Phragmites,Four,0,12,3,9,2
CM 2,Phragmites,Four,0,15,5,5,3
CM 6,Phragmites,Four,6,13,6,10,4
LP 1,Phragmites,Four,9,20,6,13,3
LP 12R,Phragmites,Four,7,13,6,2,2
LP 16R,Phragmites,Four,16,24,9,9,4
CM 4R,Typha,Four,34,14,4,14,4
CM 5R,Typha,Four,9,14,4,8,2
LP 10,Typha,Four,0,17,5,8,2
LP 10R,Typha,Four,0.33,15,5,8,2
LP 15,Typha,Four,4,16,4,9,3
LP 5R,Typha,Four,13,11,4,7,3
LP 6R,Typha,Four,1,16,5,11,4
LP 7R,Typha,Four,12,24,8,11,5
CM 10,Meadow,Five,16,27,9,3,1
CM 9,Meadow,Five,15,13,6,3,2
LP 12,Meadow,Five,14,25,7,12,4
LP 5,Meadow,Five,7,22,8,3,2
LP 6,Meadow,Five,0,20,5,6,2
LP 8R,Meadow,Five,8,31,10,14,4
CM 19,Phragmites,Five,19,17,4,13,3
CM 2,Phragmites,Five,5,14,6,3,2
CM 6,Phragmites,Five,29,15,6,9,3
LP 1,Phragmites,Five,36,15,6,v,3
LP 12R,Phragmites,Five,42,11,4,8,3
LP 16R,Phragmites,Five,38,17,5,7,3
CM 4R,Typha,Five,32,15,7,8,3
CM 5R,Typha,Five,39,19,5,13,4
LP 10,Typha,Five,22,26,7,11,4
LP 10R,Typha,Five,21,22,5,8,3
LP 15,Typha,Five,26,21,4,12,3
LP 5R,Typha,Five,39,19,6,15,3
LP 6R,Typha,Five,28,25,5,11,3
LP 7R,Typha,Five,42,32,4,6,2
