Site,VegType,VegYr,Depth,LCBD2014,LCBD2015,LCBD_dif
CM4R_14,Emergent,Emergent_2014,34,0.060527321,0.068754777,0.008227455
CM5R_14,Emergent,Emergent_2014,9,0.057174466,0.019826841,-0.037347625
LP10_14,Emergent,Emergent_2014,0,0.068677625,0.052152249,-0.016525376
LP10R_14,Emergent,Emergent_2014,0.33,0.038775962,0.039237351,0.000461389
LP15_14,Emergent,Emergent_2014,4,0.050145588,0.065632369,0.015486781
LP5R_14,Emergent,Emergent_2014,13,0.02672509,0.062849335,0.036124245
LP6R_14,Emergent,Emergent_2014,1,0.034064062,0.072792549,0.038728486
LP7R_14,Emergent,Emergent_2014,12,0.054513511,0.018880267,-0.035633244
CM19_14,Invaded,Invaded_2014,0,0.042159591,0.046597738,0.004438146
CM2_14,Invaded,Invaded_2014,0,0.069104099,0.037754815,-0.031349285
CM6_14,Invaded,Invaded_2014,6,0.031899313,0.035722514,0.003823201
LP1_14,Invaded,Invaded_2014,9,0.093375269,0.039984181,-0.053391088
LP12R_14,Invaded,Invaded_2014,7,0.032033083,0.044215496,0.012182414
LP16R_14,Invaded,Invaded_2014,16,0.04293677,0.035530161,-0.00740661
CM10_14,Meadow,Meadow_2014,0,0.050844905,0.077232805,0.026387901
CM9_14,Meadow,Meadow_2014,0,0.031852407,0.087516456,0.055664049
LP12_14,Meadow,Meadow_2014,0,0.050444968,0.046393429,-0.004051539
LP5_14,Meadow,Meadow_2014,0,0.068272203,0.045834184,-0.022438019
LP6_14,Meadow,Meadow_2014,0,0.062670092,0.056947959,-0.005722133
LP8R_14,Meadow,Meadow_2014,0,0.033803675,0.046144525,0.01234085
