"","NMDS1","NMDS2","NMDS3","X.vector.13.vectors..r","X.vector.13.vectors..pvals"
"AMBI",-0.721281974024687,-0.667104783381656,0.186342485591355,0.211827040188195,0.036
"LEBI",-0.744023328181778,-0.182283289535121,0.642807972475113,0.0256074934768125,0.781
"MAWR",-0.573910625071302,-0.456992779868343,0.67954705030518,0.522502966844581,0.001
"SORA",0.916815679858527,0.00241464324821769,0.399303366706982,0.273314250572352,0.008
"SWSP",-0.602259063544971,-0.0134854093151434,-0.798186797756977,0.305329769905147,0.006
"VIRA",0.134321353485988,-0.97606054396153,0.171066035551232,0.264064347964066,0.013
"AMWO",0.387859692124313,-0.0708379094884851,-0.918992301275987,0.216943283788399,0.061
"COYE",0.0423401074836307,-0.41848242692133,-0.907237440616462,0.141092946043596,0.142
"RWBL",0.353570899190435,-0.86928208402282,0.345450832453203,0.306605675739356,0.006
"YWAR",0.436346593173995,0.873861224171426,0.214401985800188,0.378334274236006,0.002
"SOSP",0.907592584413705,-0.0516660365817586,-0.416660918951112,0.530205155571003,0.001
"CHSP",0.792927483226545,-0.205245669692783,-0.5737074353853,0.164676156641219,0.168
"NOCA",-0.060023056413501,0.75514796993032,-0.652800717071372,0.201774313417103,0.098
"WIFL",0.0986371752874734,-0.994988857429973,-0.0163670779770102,0.196597762941624,0.126
"TRES",0.787426185680091,0.00675878955732449,0.616371901427233,0.541041141294475,0.001
"BARS",0.522210609964775,-0.0172802687453169,0.852641466943936,0.346807420138595,0.002
"BANS",0.136176922309021,-0.149950951336544,0.979270421295215,0.228064313667902,0.024
"EAKI",0.131505432865511,-0.95823989522673,-0.253934291348608,0.477246441666777,0.002
"PUMA",0.952102505629254,0.140807657981992,0.271429589816811,0.340171543927356,0.009
"CSWA",0.669950353774613,0.740860404735138,0.047878848910121,0.214074568612238,0.046
"COGR",0.785990187851989,0.235590835952424,0.571591097390112,0.218681231239525,0.041
"CLIFF",0.899109026728736,-0.415839280875514,0.136677176353037,0.0698330282592649,0.406
"AMRO",0.087771130533328,-0.852013036605046,-0.51611046695446,0.221986500032849,0.03
