,Emergent,Emergent,Meadow,Meadow,Phragmites,Phragmites
,2014,2015,2014,2015,2014,2015
AMBI,3,1,0,0,0,0
AMRO,0,0,0,1,0,0
AMWO,0,0,0,0,1,0
BANS,0,1,0,1,0,0
BARS,1,0,0,3,4,2
CHSP,0,0,1,0,0,0
CLIFF,0,0,0,1,0,0
COGR,0,0,0,1,1,0
COYE,24,25,14,19,12,16
CSWA,1,0,0,1,0,0
EAKI,0,4,0,5,0,1
LEBI,1,1,0,0,0,0
MAWR,22,29,0,6,14,15
NOCA,0,0,1,0,0,0
PUMA,0,0,0,2,0,0
RWBL,39,94,22,62,32,34
SORA,0,0,0,2,1,0
SOSP,0,0,2,6,2,2
SWSP,25,25,10,12,19,15
TRES,4,3,2,10,6,0
VIRA,1,3,0,2,1,0
WIFL,0,1,0,0,0,0
YWAR,6,2,5,4,4,4
