"","Site.ID","VegYr","Vegetation.type","Year","Water","Tab","TS","Mab","MS","logTS","logTab","logMAb","logMS"
"1","CM 10","Meadow_2014","Meadow","2014",0,8,4,5,2,1.38629436111989,2.07944154167984,1.6094379124341,0.693147180559945
"2","CM 9","Meadow_2014","Meadow","2014",0,4,3,1,1,1.09861228866811,1.38629436111989,0,0
"3","LP 12","Meadow_2014","Meadow","2014",0,10,5,6,2,1.6094379124341,2.30258509299405,1.79175946922805,0.693147180559945
"4","LP 5","Meadow_2014","Meadow","2014",0,11,5,3,2,1.6094379124341,2.39789527279837,1.09861228866811,0.693147180559945
"5","LP 6","Meadow_2014","Meadow","2014",0,12,5,3,1,1.6094379124341,2.484906649788,1.09861228866811,0
"6","LP 8R","Meadow_2014","Meadow","2014",0,12,5,6,2,1.6094379124341,2.484906649788,1.79175946922805,0.693147180559945
"7","CM 19","Invaded_2014","Invaded","2014",0,12,3,9,2,1.09861228866811,2.484906649788,2.19722457733622,0.693147180559945
"8","CM 2","Invaded_2014","Invaded","2014",0,15,5,5,3,1.6094379124341,2.70805020110221,1.6094379124341,1.09861228866811
"9","CM 6","Invaded_2014","Invaded","2014",6,13,6,10,4,1.79175946922805,2.56494935746154,2.30258509299405,1.38629436111989
"10","LP 1","Invaded_2014","Invaded","2014",9,20,6,13,3,1.79175946922805,2.99573227355399,2.56494935746154,1.09861228866811
"11","LP 12R","Invaded_2014","Invaded","2014",7,13,6,2,2,1.79175946922805,2.56494935746154,0.693147180559945,0.693147180559945
"12","LP 16R","Invaded_2014","Invaded","2014",16,24,9,9,4,2.19722457733622,3.17805383034795,2.19722457733622,1.38629436111989
"13","CM 4R","Emergent_2014","Emergent","2014",34,14,4,14,4,1.38629436111989,2.63905732961526,2.63905732961526,1.38629436111989
"14","CM 5R","Emergent_2014","Emergent","2014",9,14,4,8,2,1.38629436111989,2.63905732961526,2.07944154167984,0.693147180559945
"15","LP 10","Emergent_2014","Emergent","2014",0,17,5,8,2,1.6094379124341,2.83321334405622,2.07944154167984,0.693147180559945
"16","LP 10R","Emergent_2014","Emergent","2014",0.33,15,5,8,2,1.6094379124341,2.70805020110221,2.07944154167984,0.693147180559945
"17","LP 15","Emergent_2014","Emergent","2014",4,16,4,9,3,1.38629436111989,2.77258872223978,2.19722457733622,1.09861228866811
"18","LP 5R","Emergent_2014","Emergent","2014",13,11,4,7,3,1.38629436111989,2.39789527279837,1.94591014905531,1.09861228866811
"19","LP 6R","Emergent_2014","Emergent","2014",1,16,5,11,4,1.6094379124341,2.77258872223978,2.39789527279837,1.38629436111989
"20","LP 7R","Emergent_2014","Emergent","2014",12,24,8,11,5,2.07944154167984,3.17805383034795,2.39789527279837,1.6094379124341
"21","CM 10","Meadow_2015","Meadow","2015",16,27,9,3,1,2.19722457733622,3.29583686600433,1.09861228866811,0
"22","CM 9","Meadow_2015","Meadow","2015",15,13,6,3,2,1.79175946922805,2.56494935746154,1.09861228866811,0.693147180559945
"23","LP 12","Meadow_2015","Meadow","2015",14,25,7,12,4,1.94591014905531,3.2188758248682,2.484906649788,1.38629436111989
"24","LP 5","Meadow_2015","Meadow","2015",7,22,8,3,2,2.07944154167984,3.09104245335832,1.09861228866811,0.693147180559945
"25","LP 6","Meadow_2015","Meadow","2015",0,20,5,6,2,1.6094379124341,2.99573227355399,1.79175946922805,0.693147180559945
"26","LP 8R","Meadow_2015","Meadow","2015",8,31,10,14,4,2.30258509299405,3.43398720448515,2.63905732961526,1.38629436111989
"27","CM 19","Invaded_2015","Invaded","2015",19,17,4,13,3,1.38629436111989,2.83321334405622,2.56494935746154,1.09861228866811
"28","CM 2","Invaded_2015","Invaded","2015",5,14,6,3,2,1.79175946922805,2.63905732961526,1.09861228866811,0.693147180559945
"29","CM 6","Invaded_2015","Invaded","2015",29,15,6,9,3,1.79175946922805,2.70805020110221,2.19722457733622,1.09861228866811
"30","LP 1","Invaded_2015","Invaded","2015",36,15,6,6,3,1.79175946922805,2.70805020110221,1.79175946922805,1.09861228866811
"31","LP 12R","Invaded_2015","Invaded","2015",42,11,4,8,3,1.38629436111989,2.39789527279837,2.07944154167984,1.09861228866811
"32","LP 16R","Invaded_2015","Invaded","2015",38,17,5,7,3,1.6094379124341,2.83321334405622,1.94591014905531,1.09861228866811
"33","CM 4R","Emergent_2015","Emergent","2015",32,15,7,8,3,1.94591014905531,2.70805020110221,2.07944154167984,1.09861228866811
"34","CM 5R","Emergent_2015","Emergent","2015",39,19,5,13,4,1.6094379124341,2.94443897916644,2.56494935746154,1.38629436111989
"35","LP 10","Emergent_2015","Emergent","2015",22,26,7,11,4,1.94591014905531,3.25809653802148,2.39789527279837,1.38629436111989
"36","LP 10R","Emergent_2015","Emergent","2015",21,22,5,8,3,1.6094379124341,3.09104245335832,2.07944154167984,1.09861228866811
"37","LP 15","Emergent_2015","Emergent","2015",26,21,4,12,3,1.38629436111989,3.04452243772342,2.484906649788,1.09861228866811
"38","LP 5R","Emergent_2015","Emergent","2015",39,19,6,15,3,1.79175946922805,2.94443897916644,2.70805020110221,1.09861228866811
"39","LP 6R","Emergent_2015","Emergent","2015",28,25,5,11,3,1.6094379124341,3.2188758248682,2.39789527279837,1.09861228866811
"40","LP 7R","Emergent_2015","Emergent","2015",42,32,4,6,2,1.38629436111989,3.46573590279973,1.79175946922805,0.693147180559945
