"","MARSH","OTHER","INSECT","SEED","FISH","OMNIV","GRD_FRG","STALK","PROBE","AER_FORG","FOL_GLN","FLY_CAT","SHRUB","TREE","FLOAT","GROUND","CAVITY","BUILD","CLIFF","BURROW"
"CM10_14",5,3,8,0,0,0,3,0,0,0,5,0,8,0,0,0,0,0,0,0
"CM9_14",1,3,4,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0
"LP12_14",6,4,9,1,0,0,6,0,0,0,4,0,10,0,0,0,0,0,0,0
"LP5_14",3,8,11,0,0,0,7,0,0,1,3,0,10,0,0,0,1,0,0,0
"LP6_14",3,9,11,1,0,0,8,0,0,1,3,0,11,0,0,0,1,0,0,0
"LP8R_14",6,6,12,0,0,0,10,0,0,0,2,0,12,0,0,0,0,0,0,0
"CM19_14",9,3,12,0,0,0,9,0,0,0,3,0,12,0,0,0,0,0,0,0
"CM2_14",4,11,15,0,0,0,13,0,1,0,1,0,14,0,0,1,0,0,0,0
"CM6_14",10,3,13,0,0,0,10,0,0,0,3,0,12,0,0,1,0,0,0,0
"LP1_14",13,7,20,0,0,0,16,0,0,1,3,0,19,0,0,0,1,0,0,0
"LP12R_14",2,11,13,0,0,0,8,0,0,4,1,0,9,0,0,0,2,2,0,0
"LP16R_14",9,15,22,1,0,1,14,0,0,5,5,0,17,1,1,0,3,2,0,0
"CM4R_14",14,0,12,0,2,0,10,2,0,0,2,0,12,0,0,2,0,0,0,0
"CM5R_14",8,6,14,0,0,0,10,0,0,1,3,0,13,0,0,0,1,0,0,0
"LP10_14",8,9,17,0,0,0,9,0,0,2,6,0,15,0,0,0,2,0,0,0
"LP10R_14",8,7,15,0,0,0,4,0,0,0,11,0,15,0,0,0,0,0,0,0
"LP15_14",9,7,16,0,0,0,13,0,0,0,3,0,16,0,0,0,0,0,0,0
"LP5R_14",7,4,11,0,0,0,10,0,0,0,1,0,11,0,0,0,0,0,0,0
"LP6R_14",11,5,15,0,1,0,12,1,0,0,3,0,15,0,0,1,0,0,0,0
"LP7R_14",11,13,23,0,1,0,19,1,0,2,2,0,20,0,0,2,1,1,0,0
"CM10_15",3,24,26,0,0,1,17,0,0,5,5,0,21,1,0,0,4,1,0,0
"CM9_15",3,10,11,2,0,0,10,0,0,3,0,0,8,0,2,0,3,0,0,0
"LP12_15",12,13,25,0,0,0,21,0,0,0,3,1,23,1,0,1,0,0,0,0
"LP5_15",3,19,22,0,0,0,15,0,0,3,3,1,18,1,0,0,1,1,0,1
"LP6_15",6,14,20,0,0,0,12,0,0,0,5,3,16,4,0,0,0,0,0,0
"LP8R_15",14,17,31,0,0,0,17,0,0,6,8,0,24,0,0,1,4,1,1,0
"CM19_15",13,4,17,0,0,0,13,0,0,0,4,0,17,0,0,0,0,0,0,0
"CM2_15",3,11,14,0,0,0,9,0,0,0,4,1,13,1,0,0,0,0,0,0
"CM6_15",9,6,15,0,0,0,10,0,0,1,4,0,14,0,0,0,0,1,0,0
"LP1_15",6,9,15,0,0,0,11,0,0,0,4,0,15,0,0,0,0,0,0,0
"LP12R_15",8,3,11,0,0,0,9,0,0,0,2,0,11,0,0,0,0,0,0,0
"LP16R_15",7,10,17,0,0,0,14,0,0,1,2,0,16,0,0,0,0,1,0,0
"CM4R_15",8,7,14,0,1,0,11,1,0,2,1,0,12,0,0,1,1,0,0,1
"CM5R_15",13,6,18,0,1,0,13,1,0,0,5,0,18,0,0,1,0,0,0,0
"LP10_15",12,14,26,0,0,0,18,0,0,0,5,3,21,2,0,3,0,0,0,0
"LP10R_15",8,14,22,0,0,0,16,0,0,0,6,0,22,0,0,0,0,0,0,0
"LP15_15",12,9,21,0,0,0,19,0,0,0,2,0,21,0,0,0,0,0,0,0
"LP5R_15",15,14,29,0,0,0,23,0,0,1,4,1,27,1,0,0,1,0,0,0
"LP6R_15",11,14,25,0,0,0,20,0,0,0,4,1,24,1,0,0,0,0,0,0
"LP7R_15",6,26,32,0,0,0,31,0,0,1,0,0,31,0,0,0,1,0,0,0
